#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 199960:2893 | 07/30/12 19:24:14 | 397  | 397  | 46322286.672   | 45680205.772  |
| 199961:2893 | 07/30/12 22:08:25 | 286  | 286  | 26574006.426   | 26239162.432  |
| 199967:2894 | 07/31/12 02:42:28 | 137  | 137  | 17564908.917   | 16920187.019  |
| 199973:2896 | 07/31/12 07:19:00 | 17   | 17   | 2267948.833    | 2204275.182   |
| 200041:2898 | 07/31/12 15:23:03 | 1012 | 1012 | 98908542.620   | 97564530.076  |
| 200042:2898 | 07/31/12 23:05:01 | 535  | 535  | 31944012.238   | 31660070.345  |
| 200049:2898 | 08/01/12 03:25:38 | 177  | 177  | 8517851.814    | 8471702.727   |
| 200075:2900 | 08/01/12 12:01:32 | 498  | 498  | 55692617.944   | 55001150.697  |
| 200091:2902 | 08/01/12 19:34:04 | 1611 | 1611 | 139879382.201  | 138264311.525 |
| 200152:2905 | 08/02/12 20:23:50 | 43   | 43   | 5648259.359    | 5481183.909   |
| 200160:2906 | 08/02/12 23:44:23 | 17   | 17   | 2364735.040    | 2259815.106   |
| 200161:2906 | 08/02/12 23:54:02 | 110  | 110  | 14292458.982   | 12774742.905  |
| 200174:2908 | 08/03/12 05:18:52 | 4    | 4    | 550494.405     | 391991.181    |
| 200177:2908 | 08/03/12 05:28:38 | 56   | 56   | 7382544.830    | 6970520.807   |
| 200178:2908 | 08/03/12 05:54:00 | 38   | 38   | 4814947.679    | 4644342.238   |
| 200180:2908 | 08/03/12 06:15:03 | 18   | 18   | 2213429.952    | 2161131.486   |
| 200186:2908 | 08/03/12 06:49:24 | 22   | 22   | 2538815.920    | 2396458.704   |
| 200188:2908 | 08/03/12 07:08:19 | 344  | 344  | 34927560.745   | 34441809.642  |
| 200190:2908 | 08/03/12 09:31:48 | 856  | 856  | 62679217.712   | 61835851.734  |
| 200229:2911 | 08/04/12 04:40:07 | 612  | 612  | 49211632.701   | 48463845.827  |
| 200243:2912 | 08/04/12 11:31:00 | 69   | 69   | 9723531.205    | 9440211.674   |
| 200244:2912 | 08/04/12 12:05:48 | 611  | 611  | 67676577.479   | 66587048.277  |
| 200245:2912 | 08/04/12 16:09:41 | 352  | 352  | 28695705.048   | 28433087.206  |
| 200368:2918 | 08/06/12 15:09:29 | 109  | 109  | 10358050.679   | 10172784.588  |
| 200369:2918 | 08/06/12 15:55:44 | 675  | 675  | 52023961.076   | 51457954.986  |
| 200381:2920 | 08/07/12 01:07:41 | 184  | 184  | 24997707.427   | 24537265.115  |
| 200466:2926 | 08/07/12 17:22:56 | 141  | 141  | 6082965.392    | 5958303.221   |
| 200473:2927 | 08/07/12 21:31:35 | 1213 | 1213 | 99079740.340   | 98116541.959  |
| 200491:2928 | 08/08/12 08:19:18 | 317  | 317  | 39993870.147   | 39256191.029  |
| 200515:2929 | 08/08/12 16:04:45 | 87   | 87   | 12373886.813   | 11988398.938  |
| 200519:2929 | 08/08/12 16:58:03 | 735  | 735  | 75840121.152   | 74809362.470  |
| 200525:2932 | 08/09/12 01:37:07 | 896  | 896  | 96025195.907   | 94513486.285  |
| 200532:2932 | 08/09/12 07:38:00 | 37   | 37   | 2908234.749    | 2883400.708   |
| 200599:2934 | 08/09/12 19:27:52 | 61   | 61   | 8860617.100    | 8529394.120   |
| 200600:2934 | 08/09/12 19:55:16 | 1115 | 1115 | 110048250.099  | 108603824.826 |
| 200990:2976 | 08/15/12 15:49:46 | 69   | 69   | 9289878.199    | 8900592.649   |
| 200991:2976 | 08/15/12 16:20:56 | 1033 | 1033 | 97698501.433   | 96153549.484  |
| 200992:2976 | 08/15/12 23:15:21 | 578  | 578  | 35274290.889   | 35028608.707  |
| 201062:2978 | 08/16/12 11:09:00 | 191  | 191  | 26850843.246   | 26058511.502  |
| 201097:2980 | 08/16/12 20:26:26 | 407  | 407  | 51667859.720   | 50291477.421  |
| 201114:2981 | 08/17/12 02:22:00 | 14   | 14   | 2156290.383    | 1942006.029   |
| 201115:2981 | 08/17/12 02:31:36 | 73   | 73   | 10621795.549   | 10216052.418  |
| 201159:2983 | 08/17/12 11:42:55 | 142  | 142  | 20921946.067   | 19554229.089  |
| 201164:2983 | 08/17/12 12:42:06 | 409  | 409  | 48511571.368   | 47503896.617  |
| 201168:2983 | 08/17/12 15:33:50 | 725  | 725  | 60984294.564   | 60208205.931  |
| 201173:2983 | 08/17/12 20:38:34 | 584  | 584  | 35034433.297   | 34784670.167  |
| 201174:2983 | 08/18/12 00:31:26 | 447  | 447  | 21180890.495   | 20988842.778  |
| 201191:2984 | 08/18/12 06:10:04 | 1290 | 1290 | 135786792.888  | 133220488.424 |
| 201193:2984 | 08/18/12 14:43:47 | 19   | 19   | 1317887.170    | 1271385.168   |
| 201196:2984 | 08/18/12 15:01:47 | 811  | 811  | 46514834.358   | 46082073.969  |
| 201197:2984 | 08/18/12 20:30:06 | 23   | 23   | 1095027.907    | 1041929.907   |
| 201202:2984 | 08/18/12 22:22:14 | 437  | 437  | 17064495.464   | 16884031.262  |
| 201229:2987 | 08/19/12 09:30:43 | 69   | 69   | 10574368.847   | 10306481.220  |
| 201278:2991 | 08/20/12 14:36:33 | 2089 | 2089 | 169892908.000  | 167787637.573 |
| 201554:2995 | 08/22/12 22:36:24 | 55   | 55   | 8394476.118    | 8096539.779   |
| 201602:2996 | 08/23/12 12:32:17 | 555  | 555  | 69732253.844   | 67853588.194  |
| 201611:2997 | 08/23/12 18:47:05 | 96   | 96   | 14871754.868   | 13892554.190  |
| 201613:2997 | 08/23/12 19:43:32 | 636  | 636  | 75310147.847   | 74305031.696  |
| 201624:2998 | 08/24/12 04:36:17 | 157  | 157  | 24892614.650   | 23745491.642  |
| 201625:2998 | 08/24/12 07:14:50 | 724  | 724  | 72214375.218   | 71399691.258  |
| 201657:3000 | 08/24/12 19:38:05 | 40   | 40   | 6449003.298    | 5913992.927   |
| 201658:3000 | 08/24/12 20:06:50 | 283  | 283  | 38645237.579   | 37874503.120  |
| 201668:3002 | 08/25/12 05:37:29 | 80   | 80   | 12541009.141   | 11893449.388  |
| 201669:3002 | 08/25/12 06:12:02 | 160  | 160  | 22472586.454   | 21901267.321  |
| 201671:3002 | 08/25/12 07:20:16 | 990  | 990  | 94828536.325   | 93552251.457  |
| 201678:3002 | 08/25/12 14:13:24 | 120  | 120  | 8276211.988    | 8192247.087   |
| 201679:3002 | 08/25/12 15:04:49 | 474  | 474  | 28482442.880   | 28194575.333  |
| 201692:3003 | 08/25/12 21:51:22 | 101  | 101  | 15781838.733   | 15247811.416  |
| 201705:3005 | 08/26/12 05:06:34 | 121  | 121  | 17876852.693   | 17299194.932  |
| 201706:3005 | 08/26/12 05:57:17 | 62   | 62   | 8356332.490    | 8082745.602   |
| 201707:3005 | 08/26/12 06:26:52 | 939  | 939  | 91968103.168   | 90909423.126  |
| 201708:3005 | 08/26/12 12:49:10 | 79   | 79   | 5735937.380    | 5691964.760   |
| 201718:3006 | 08/26/12 18:10:49 | 51   | 51   | 7685409.091    | 7488138.655   |
| 201727:3007 | 08/26/12 20:56:00 | 119  | 119  | 17540129.775   | 16971009.837  |
| 201729:3007 | 08/26/12 22:06:04 | 232  | 232  | 29126834.059   | 28684434.063  |
| 201794:3009 | 08/27/12 19:02:44 | 37   | 37   | 6016499.349    | 5723797.660   |
| 201802:3011 | 08/27/12 22:12:06 | 224  | 224  | 32934516.919   | 31535325.909  |
| 201816:3011 | 08/28/12 02:10:19 | 155  | 155  | 15717905.256   | 15514677.081  |
| 201817:3011 | 08/28/12 03:13:38 | 274  | 274  | 24344278.973   | 23985384.265  |
| 201818:3011 | 08/28/12 05:05:10 | 1    | 1    | 81278.813      | 79173.692     |
| 201819:3011 | 08/28/12 05:12:55 | 240  | 240  | 18335265.930   | 18098225.573  |
| 201824:3011 | 08/28/12 06:50:23 | 487  | 487  | 30885460.758   | 30629672.111  |
| 202012:3016 | 08/30/12 20:21:04 | 30   | 30   | 4224645.633    | 3311735.632   |
| 202013:3016 | 08/30/12 20:36:44 | 53   | 53   | 7072964.788    | 6207060.335   |
| 202014:3016 | 08/30/12 21:03:03 | 187  | 187  | 21748905.583   | 19760601.154  |
| 202016:3016 | 08/30/12 22:27:00 | 998  | 998  | 78045076.298   | 77372785.364  |
| 202044:3018 | 08/31/12 15:05:04 | 379  | 379  | 48378139.946   | 47304648.536  |
| 202045:3018 | 08/31/12 17:38:56 | 802  | 802  | 70449452.754   | 69619945.511  |
| 202054:3018 | 08/31/12 23:55:48 | 621  | 621  | 36430144.396   | 36193360.990  |
| 202060:3019 | 09/01/12 07:35:49 | 853  | 853  | 90889011.910   | 89640068.363  |
| 202074:3020 | 09/01/12 21:25:18 | 109  | 109  | 16067147.245   | 15529343.100  |
| 202075:3020 | 09/01/12 22:12:39 | 609  | 609  | 67259421.908   | 66326284.792  |
| 202084:3021 | 09/02/12 05:09:43 | 153  | 153  | 21307743.979   | 20683282.481  |
| 202087:3021 | 09/02/12 06:24:11 | 1085 | 1085 | 99694234.420   | 98402851.508  |
| 202088:3021 | 09/02/12 13:32:00 | 286  | 286  | 17758043.075   | 17594834.072  |
| 202093:3021 | 09/02/12 15:42:54 | 357  | 357  | 18316091.491   | 18176912.577  |
| 202116:3023 | 09/02/12 23:26:50 | 2    | 2    | 322036.398     | 303885.466    |
| 202178:3025 | 09/03/12 16:29:55 | 1465 | 1465 | 129396747.905  | 127877625.501 |
| 202205:3027 | 09/04/12 10:20:49 | 21   | 21   | 2912495.129    | 2830666.278   |
| 202209:3027 | 09/04/12 10:37:36 | 140  | 140  | 17819290.617   | 17528683.522  |
| 202237:3029 | 09/04/12 19:49:54 | 1021 | 1021 | 116500614.730  | 114700691.020 |
| 202272:3032 | 09/05/12 11:58:46 | 1274 | 1274 | 110146735.460  | 108826679.225 |
| 202299:3033 | 09/06/12 07:13:23 | 476  | 476  | 62039570.151   | 60717907.001  |
| 202305:3033 | 09/06/12 14:43:24 | 319  | 319  | 22112363.881   | 21952134.839  |
| 202314:3034 | 09/06/12 19:29:59 | 208  | 208  | 32387411.421   | 31471223.035  |
| 202328:3036 | 09/07/12 02:01:07 | 557  | 557  | 72717013.003   | 71130452.057  |
| 202333:3036 | 09/07/12 05:57:24 | 235  | 235  | 23337371.778   | 23103449.343  |
| 202389:3039 | 09/07/12 19:53:18 | 116  | 116  | 18046830.500   | 17487290.267  |
| 202469:3045 | 09/08/12 18:25:07 | 263  | 263  | 38423387.279   | 37521943.854  |
| 202472:3045 | 09/08/12 20:27:14 | 110  | 110  | 13387301.465   | 13123940.408  |
| 202477:3045 | 09/08/12 21:27:13 | 149  | 149  | 16207456.088   | 15890208.831  |
| 202478:3045 | 09/08/12 22:27:02 | 1229 | 1229 | 94846728.760   | 93931656.562  |
| 202504:3047 | 09/09/12 15:27:41 | 1606 | 1606 | 142878055.636  | 140967959.485 |
| 202972:3067 | 09/15/12 16:23:39 | 535  | 535  | 57446513.004   | 56741590.879  |
| 202973:3067 | 09/15/12 20:19:57 | 1394 | 1394 | 86734192.443   | 86076596.205  |
| 203002:3071 | 09/16/12 16:10:07 | 1496 | 1496 | 139081930.563  | 137024839.919 |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
| 86    | 180  | 80240 | 80240 | 7169421206.218    | 7055169539.878   |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: [(199812, 182), (199812, 183), (199812, 184), (199812, 185), (199812, 186), (200229, 532), (200229, 533), (200961, 1), (200961, 2), (200961, 3), (200961, 4), (200961, 5), (200961, 6), (200961, 7), (200961, 8), (200961, 9), (200961, 10), (200961, 11), (200961, 12), (200961, 13), (200961, 14), (200961, 15), (200961, 16), (200961, 17), (200961, 18), (200961, 19), (200961, 20), (200961, 21), (200961, 22), (200961, 23), (200961, 24), (200961, 25), (200961, 26), (200961, 27), (200961, 28), (200961, 29), (200961, 30), (200961, 31), (200961, 32), (200961, 33), (200961, 34), (200961, 35), (200961, 36), (200961, 37), (200961, 38), (200961, 39), (200961, 40), (200961, 41), (200961, 42), (200961, 43), (200961, 44), (200961, 45), (200961, 46), (200961, 47), (200961, 48), (200961, 49), (200961, 50), (200961, 51), (200961, 52), (200961, 53), (200961, 54), (200961, 55), (200961, 56), (200961, 57), (200961, 58), (200961, 59), (200961, 60), (200961, 61), (200961, 62), (200961, 63), (200961, 64), (200961, 65), (200961, 66), (200961, 67), (200961, 68), (200961, 69), (200961, 70), (200961, 71), (200961, 72), (200961, 73), (200961, 74), (200961, 75), (200961, 76), (200961, 77), (200961, 78), (200961, 79), (200961, 80), (200961, 81), (200961, 82), (200961, 83), (200961, 84), (200961, 85), (200961, 86), (200961, 87), (200961, 88), (200961, 89), (200961, 90), (200961, 91), (200961, 92), (200961, 93), (200961, 94), (200961, 95), (200961, 96), (200961, 97), (200961, 98), (200961, 99), (200961, 100), (200961, 101), (200961, 102), (200961, 103), (200961, 104), (200961, 105), (200961, 106), (200961, 107), (200961, 108), (200961, 109), (200961, 110), (200961, 111), (200961, 112), (200961, 113), (200961, 114), (200961, 115), (200976, 94), (200976, 95), (200976, 96), (200976, 97), (200976, 98), (200976, 99), (200976, 100), (200976, 101), (200976, 102), (200976, 103), (200976, 104), (200976, 105), (200976, 106), (200976, 107), (200976, 108), (200976, 109), (200976, 110), (200976, 111), (200976, 112), (200976, 113), (200976, 114), (200976, 115), (200976, 116), (200976, 117), (200976, 118), (200976, 119), (200976, 120), (200976, 121), (200976, 122), (200976, 123), (200976, 124), (200976, 125), (200976, 126), (200976, 127), (200976, 128), (200976, 129), (200976, 130), (200976, 131), (200976, 132), (200976, 133), (200976, 134), (200976, 135), (200976, 136), (200976, 137), (200976, 138), (200976, 139), (200976, 140), (200976, 141), (200976, 142), (200976, 143), (200976, 144), (200976, 145), (200976, 146), (200976, 147), (200976, 148), (200976, 149), (200976, 150), (200976, 151), (200976, 152), (200976, 153), (200976, 154), (200976, 155), (200976, 156), (200976, 157), (200976, 158), (200976, 159), (200976, 160), (200976, 161), (200976, 162), (200976, 163), (200976, 164), (202973, 910), (202973, 911), (202973, 912), (203709, 1), (203709, 2), (203709, 3), (203709, 4), (203709, 5), (203709, 6), (203709, 7), (203709, 8), (203709, 9), (203709, 10), (203709, 11), (203709, 12), (203709, 13), (203709, 14), (203709, 15), (203709, 16), (203709, 17), (203709, 18), (203709, 19), (203709, 20), (203709, 21), (203709, 22), (203709, 23), (203709, 24), (203709, 25), (203709, 26), (203709, 27), (203709, 28), (203709, 29), (203709, 30), (203709, 31), (203709, 32), (203709, 33), (203709, 34), (203709, 35), (203709, 36), (203709, 37), (203709, 38), (203709, 39), (203709, 40), (203709, 41), (203709, 42), (203709, 43), (203709, 44), (203709, 45), (203709, 46), (203709, 47), (203709, 48), (203709, 49), (203709, 50), (203709, 51), (203709, 52), (203709, 53), (203709, 54), (203709, 55), (203709, 56), (203709, 57), (203709, 58), (203709, 59), (203709, 60), (203709, 61), (203709, 62), (203709, 63), (203709, 64), (203709, 65), (203709, 66), (203709, 67), (203709, 68), (203709, 69), (203709, 70), (203709, 71), (203709, 72), (203709, 73), (203709, 74), (203709, 75), (203709, 76), (203709, 77), (203709, 78), (203709, 79), (203709, 80), (203709, 81), (203709, 82), (203709, 83), (203709, 84), (203709, 85), (203709, 86), (203709, 87), (203709, 88), (203709, 89), (203709, 90), (203709, 91), (203709, 92), (203709, 93), (203709, 94), (203709, 95), (203709, 96), (203709, 97), (203709, 98), (203709, 99), (203709, 100), (203709, 101), (203709, 102), (203709, 103), (203709, 104), (203709, 105), (203709, 106), (203709, 107), (203709, 108), (203709, 109), (203709, 110), (203709, 111), (203709, 112), (203709, 113), (203709, 114), (203709, 115), (203709, 116), (203709, 117), (203709, 118), (203709, 119), (203709, 120), (203709, 121), (203742, 1), (203742, 2), (203742, 3), (203742, 4), (203742, 5), (203742, 6), (203742, 7), (203742, 8), (203742, 9), (203742, 10), (203742, 11), (203742, 12), (203742, 13), (203742, 14), (203742, 15), (203742, 16), (203742, 17), (203742, 18), (203742, 19), (203742, 20), (203742, 21), (203742, 22), (203742, 23), (203742, 24), (203742, 25), (203742, 26), (203742, 27), (203742, 28), (203742, 29)]
