#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 195099:2670 | 05/27/12 21:17:38 | 171  | 171  | 24360357.412   | 23593804.718  |
| 195109:2671 | 05/28/12 01:40:39 | 144  | 144  | 20069467.598   | 19429738.302  |
| 195112:2671 | 05/28/12 03:51:01 | 24   | 24   | 2835415.534    | 2426600.200   |
| 195113:2671 | 05/28/12 04:04:17 | 569  | 569  | 57414186.650   | 56490598.900  |
| 195114:2671 | 05/28/12 07:53:29 | 101  | 101  | 8582658.927    | 8431454.572   |
| 195115:2671 | 05/28/12 08:37:22 | 20   | 20   | 1642311.511    | 1624200.288   |
| 195147:2673 | 05/28/12 17:59:45 | 416  | 416  | 53382668.806   | 52093182.889  |
| 195163:2675 | 05/29/12 02:27:30 | 269  | 269  | 36793885.126   | 35549066.156  |
| 195164:2675 | 05/29/12 04:17:00 | 64   | 64   | 7908004.335    | 7734899.914   |
| 195165:2675 | 05/29/12 04:44:03 | 257  | 257  | 28753944.354   | 28269636.489  |
| 195251:2683 | 05/30/12 12:28:53 | 236  | 236  | 31336898.802   | 30484645.800  |
| 195303:2686 | 05/31/12 02:02:28 | 295  | 295  | 39161385.578   | 37610746.323  |
| 195304:2686 | 05/31/12 04:01:24 | 1206 | 1206 | 107578183.300  | 106506589.493 |
| 195378:2691 | 06/01/12 09:43:18 | 1029 | 1029 | 99884471.469   | 98695569.165  |
| 195390:2691 | 06/01/12 21:03:25 | 389  | 389  | 19908340.278   | 19787230.643  |
| 195396:2692 | 06/02/12 03:11:28 | 79   | 79   | 11151547.151   | 10623807.403  |
| 195397:2692 | 06/02/12 03:50:24 | 1188 | 1188 | 117854375.430  | 116333903.631 |
| 195398:2692 | 06/02/12 11:45:18 | 1756 | 1756 | 90018474.847   | 89227117.758  |
| 195399:2692 | 06/02/12 23:25:44 | 381  | 381  | 13237409.895   | 13114576.334  |
| 195530:2698 | 06/04/12 16:30:17 | 399  | 399  | 46786056.784   | 46082156.232  |
| 195540:2700 | 06/05/12 02:45:46 | 246  | 246  | 32673528.970   | 31922026.921  |
| 195551:2701 | 06/05/12 07:35:46 | 16   | 16   | 2282050.215    | 1994198.163   |
| 195552:2701 | 06/05/12 07:44:56 | 1766 | 1766 | 154929434.183  | 153067185.486 |
| 195633:2710 | 06/06/12 16:06:39 | 3    | 3    | 462690.053     | 333722.734    |
| 195647:2710 | 06/06/12 17:39:00 | 41   | 41   | 5351656.160    | 5224937.518   |
| 195649:2710 | 06/06/12 17:58:35 | 242  | 242  | 28860426.172   | 28373027.734  |
| 195655:2710 | 06/06/12 19:55:18 | 490  | 490  | 46923445.541   | 46361268.905  |
| 195656:2710 | 06/06/12 23:11:12 | 362  | 362  | 28660488.823   | 28436825.108  |
| 195658:2710 | 06/07/12 02:24:17 | 382  | 382  | 24535232.714   | 24259202.513  |
| 195749:2711 | 06/07/12 13:10:15 | 128  | 128  | 17811242.729   | 17005379.814  |
| 195757:2711 | 06/07/12 14:06:05 | 201  | 201  | 25124913.814   | 23871810.360  |
| 195758:2711 | 06/07/12 15:29:14 | 18   | 18   | 2105866.072    | 2020044.537   |
| 195774:2712 | 06/07/12 18:50:44 | 815  | 815  | 97053380.693   | 95198568.832  |
| 195775:2712 | 06/08/12 01:09:27 | 166  | 166  | 13913082.393   | 13695895.893  |
| 195776:2712 | 06/08/12 02:18:13 | 469  | 469  | 34141547.107   | 33859560.897  |
| 195841:2713 | 06/08/12 11:42:48 | 12   | 12   | 1775573.629    | 1627044.120   |
| 195868:2714 | 06/08/12 15:09:13 | 202  | 202  | 26488231.330   | 25778797.238  |
| 195915:2717 | 06/09/12 09:16:16 | 838  | 838  | 95715357.671   | 94225841.886  |
| 195916:2717 | 06/09/12 14:52:48 | 208  | 208  | 17882108.790   | 17729587.082  |
| 195917:2717 | 06/09/12 16:17:55 | 4    | 4    | 324897.238     | 321217.525    |
| 195918:2717 | 06/09/12 16:24:51 | 61   | 61   | 4888035.234    | 4833095.012   |
| 195919:2717 | 06/09/12 16:54:13 | 15   | 15   | 1180062.075    | 1171089.358   |
| 195923:2717 | 06/09/12 17:04:18 | 14   | 14   | 1083396.502    | 1075266.526   |
| 195925:2717 | 06/09/12 17:13:36 | 12   | 12   | 918413.354     | 910496.779    |
| 195926:2717 | 06/09/12 17:22:10 | 32   | 32   | 2421953.253    | 2405494.342   |
| 195929:2717 | 06/09/12 17:48:55 | 29   | 29   | 2127541.085    | 2112263.195   |
| 195930:2717 | 06/09/12 18:02:59 | 590  | 590  | 37956998.916   | 37580140.695  |
| 195937:2717 | 06/09/12 22:11:12 | 393  | 393  | 21067391.698   | 20926797.812  |
| 195947:2718 | 06/10/12 04:52:29 | 65   | 65   | 9320169.179    | 6510495.912   |
| 195948:2718 | 06/10/12 05:41:25 | 547  | 547  | 63666706.203   | 62367403.347  |
| 195950:2718 | 06/10/12 09:23:48 | 1562 | 1562 | 111636302.414  | 110361783.949 |
| 195963:2719 | 06/10/12 21:55:56 | 5    | 5    | 754325.269     | 726581.458    |
| 195970:2720 | 06/11/12 00:09:07 | 41   | 41   | 5966032.810    | 2372202.618   |
| 196019:2723 | 06/11/12 10:35:37 | 15   | 15   | 2199664.003    | 1908216.950   |
| 196027:2723 | 06/11/12 11:48:41 | 181  | 181  | 22528112.229   | 22132500.442  |
| 196046:2724 | 06/11/12 16:04:31 | 29   | 29   | 4253358.310    | 3979327.682   |
| 196047:2724 | 06/11/12 16:21:23 | 70   | 70   | 9798587.395    | 9168939.402   |
| 196048:2724 | 06/11/12 16:57:52 | 47   | 47   | 6218192.724    | 5962492.223   |
| 196197:2726 | 06/12/12 18:09:49 | 499  | 499  | 64561358.207   | 62977475.434  |
| 196199:2726 | 06/12/12 21:29:37 | 524  | 524  | 50955202.912   | 50348847.881  |
| 196200:2726 | 06/13/12 01:03:02 | 68   | 68   | 5734603.578    | 5685893.303   |
